,label,area,perimeter,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,eccentricity,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,aspect_ratio,equivalent_diameter
0,1,4.0,2.0,4.47213595499958,0.0,30.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
1,2,3.0,1.0,3.265986323710904,0.0,107.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
2,3,3.0,1.0,3.265986323710904,0.0,119.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
3,4,5.0,3.0,5.656854249492381,0.0,144.0,0.0,0.0,1.0,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,,2.5231325220201604
4,5,39.0,37.0,45.01851470969102,0.0,173.0,0.0,0.0,1.0,3.247863247863248,10.548615676820805,0.0,0.0,0.0,0.0,0.0,,7.046725639945928
5,6,3.0,1.0,3.265986323710904,0.0,255.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
6,7,3.0,1.0,3.265986323710904,0.0,401.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
7,8,4.0,2.0,4.47213595499958,0.0,413.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
8,9,3.0,1.0,3.265986323710904,0.0,457.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
9,10,3.0,1.0,3.265986323710904,0.0,479.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
10,1,19.0,17.0,21.908902300206645,0.0,27.0,0.0,0.0,1.0,1.5789473684210527,2.4930747922437675,0.0,0.0,0.0,0.0,0.0,,4.918490759365935
11,2,3.0,1.0,3.265986323710904,0.0,94.0,0.0,0.0,1.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,0.0,,1.9544100476116797
12,3,5.0,3.0,5.656854249492381,0.0,102.0,0.0,0.0,1.0,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,,2.5231325220201604
13,4,6.0,4.0,6.831300510639732,0.0,115.5,0.0,0.0,1.0,0.4861111111111111,0.236304012345679,0.0,0.0,0.0,0.0,0.0,,2.763953195770684
14,5,12.0,10.0,13.808210118138652,0.0,129.5,0.0,0.0,1.0,0.9930555555555556,0.9861593364197532,0.0,0.0,0.0,0.0,0.0,,3.9088200952233594
15,6,5.0,3.0,5.656854249492381,0.0,196.0,0.0,0.0,1.0,0.4,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,,2.5231325220201604
16,7,7.0,5.0,8.0,0.0,308.0,0.0,0.0,1.0,0.5714285714285714,0.32653061224489793,0.0,0.0,0.0,0.0,0.0,,2.985410660720923
17,8,12.0,10.0,13.808210118138652,0.0,337.5,0.0,0.0,1.0,0.9930555555555556,0.9861593364197532,0.0,0.0,0.0,0.0,0.0,,3.9088200952233594
18,9,4.0,2.0,4.47213595499958,0.0,362.5,0.0,0.0,1.0,0.3125,0.09765625,0.0,0.0,0.0,0.0,0.0,,2.256758334191025
19,10,12.0,10.0,13.808210118138652,0.0,402.5,0.0,0.0,1.0,0.9930555555555556,0.9861593364197532,0.0,0.0,0.0,0.0,0.0,,3.9088200952233594
20,1,12.0,10.0,13.808210118138652,0.0,191.5,0.0,0.0,1.0,0.9930555555555556,0.9861593364197532,0.0,0.0,0.0,0.0,0.0,,3.9088200952233594
21,2,8.0,6.0,9.16515138991168,0.0,208.5,0.0,0.0,1.0,0.65625,0.4306640625,0.0,0.0,0.0,0.0,0.0,,3.1915382432114616
